source,target,salience
8,16,0.04040404040404041
8,15,0.15151515151515152
8,55,0.010101010101010102
8,40,0.010101010101010102
8,36,0.025252525252525252
8,81,0.005050505050505051
8,41,0.10101010101010101
8,54,0.005050505050505051
8,30,0.005050505050505051
8,103,0.005050505050505051
8,109,0.005050505050505051
306,315,0.005050505050505051
306,310,0.005050505050505051
306,60,0.7929292929292929
306,66,0.17676767676767677
306,300,0.005050505050505051
306,129,0.005050505050505051
315,37,0.015151515151515152
315,16,0.1414141414141414
315,310,0.13636363636363635
315,319,0.005050505050505051
315,308,0.005050505050505051
315,318,0.010101010101010102
132,142,0.010101010101010102
132,135,0.6161616161616161
132,126,0.05555555555555555
132,27,0.010101010101010102
132,101,0.04040404040404041
132,158,0.010101010101010102
132,127,0.015151515151515152
132,141,0.17676767676767677
132,131,0.010101010101010102
132,105,0.010101010101010102
132,320,0.005050505050505051
132,28,0.005050505050505051
132,140,0.010101010101010102
132,194,0.015151515151515152
132,106,0.005050505050505051
37,310,0.005050505050505051
37,36,0.015151515151515152
37,60,0.045454545454545456
37,71,0.17676767676767677
37,41,0.015151515151515152
37,305,0.05555555555555555
37,300,0.015151515151515152
37,303,0.005050505050505051
47,15,0.6767676767676768
47,67,0.04040404040404041
47,21,0.005050505050505051
47,62,0.045454545454545456
47,48,0.12121212121212122
47,14,0.0707070707070707
47,77,0.010101010101010102
47,75,0.005050505050505051
47,46,0.010101010101010102
47,23,0.005050505050505051
47,25,0.005050505050505051
133,142,0.005050505050505051
133,186,0.6363636363636364
133,135,0.1111111111111111
133,86,0.030303030303030304
133,143,0.010101010101010102
133,150,0.09090909090909091
133,141,0.010101010101010102
133,131,0.005050505050505051
133,140,0.010101010101010102
133,256,0.005050505050505051
133,314,0.07575757575757576
133,274,0.005050505050505051
142,126,0.030303030303030304
142,183,0.025252525252525252
142,134,0.005050505050505051
142,159,0.09090909090909091
142,161,0.6616161616161617
142,184,0.1111111111111111
142,131,0.010101010101010102
142,153,0.005050505050505051
5,53,0.05555555555555555
5,56,0.005050505050505051
5,169,0.25757575757575757
5,39,0.03535353535353535
5,44,0.005050505050505051
5,170,0.1414141414141414
5,172,0.005050505050505051
5,270,0.005050505050505051
5,7,0.005050505050505051
5,111,0.005050505050505051
53,6,0.005050505050505051
53,56,0.005050505050505051
53,42,0.07575757575757576
53,169,0.020202020202020204
53,39,0.05555555555555555
53,186,0.2727272727272727
53,135,0.17676767676767677
53,172,0.005050505050505051
53,7,0.005050505050505051
53,17,0.030303030303030304
53,29,0.005050505050505051
6,56,0.005050505050505051
6,58,0.04040404040404041
6,169,0.16666666666666666
